GAG,CCK,M400000000CCK1111111
GJH,NOR,E300000000NOR1111111
MDA,MLI,N100000000MLI1111111
GFM,MNG,E100000000MNG1111111
YID,CYM,O400000000CYM1111111
JWI,LIE,J400000000LIE1111111
DUM,COK,E000000000COK1111111
FQQ,SXM,S300000000SXM1111111
NPN,GMB,M000000000GMB1111111
RVL,PRI,D000000000PRI1111111
RRL,NRU,D300000000NRU1111111
OJZ,LKA,F400000000LKA1111111
EFR,MRT,K200000000MRT1111111
HZT,MAF,B100000000MAF1111111
ISY,UMI,J300000000UMI1111111
QOF,DZA,J400000000DZA1111111
RMB,ARG,M400000000ARG1111111
GNV,BLM,D300000000BLM1111111
GDS,GBR,C400000000GBR1111111
DSL,ISR,Q100000000ISR1111111
FLZ,SLE,F200000000SLE1111111
WLK,PRT,H000000000PRT1111111
ANH,TJK,B200000000TJK1111111
XOI,VIR,K100000000VIR1111111
LHE,ALA,K000000000ALA1111111
AII,COL,L300000000COL1111111
AKL,MSR,E200000000MSR1111111
MDE,CUW,H000000000CUW1111111
AVN,YEM,I200000000YEM1111111
DTQ,BLM,B200000000BLM1111111
YZM,PSE,F200000000PSE1111111
AIX,LIE,I000000000LIE1111111
KEX,TKL,K100000000TKL1111111
SJP,BGD,J100000000BGD1111111
GXO,JPN,P200000000JPN1111111
HTC,VAT,D200000000VAT1111111
VNR,BEN,S000000000BEN1111111
FEX,SXM,H100000000SXM1111111
SDP,LBN,L300000000LBN1111111
AAP,USA,F000000000USA1111111
VSJ,MSR,L200000000MSR1111111
ZTJ,BGR,Q400000000BGR1111111
JXV,ALA,S200000000ALA1111111
WUU,PCN,T300000000PCN1111111
WFT,QAT,F300000000QAT1111111
DRT,HKG,J000000000HKG1111111
QTJ,RWA,S300000000RWA1111111
DXA,COL,B200000000COL1111111
QNS,VNM,C200000000VNM1111111
OAH,PRY,T100000000PRY1111111
LKV,COM,A100000000COM1111111
YAD,VGB,R400000000VGB1111111
YAA,QAT,S200000000QAT1111111
LDD,IRQ,L100000000IRQ1111111
OBW,FSM,E200000000FSM1111111
TUD,ZMB,J000000000ZMB1111111
UOS,CYM,K300000000CYM1111111
BFM,PRK,E300000000PRK1111111
LZJ,ARE,N100000000ARE1111111
RMH,NIC,L200000000NIC1111111
JQZ,VCT,T400000000VCT1111111
MJV,NPL,Q100000000NPL1111111
OCM,PER,M200000000PER1111111
CPK,BEN,Q300000000BEN1111111
BFM,WSM,G300000000WSM1111111
OVP,NOR,R000000000NOR1111111
JHJ,NOR,G400000000NOR1111111
UMU,PNG,L200000000PNG1111111
KDS,MNP,P200000000MNP1111111
NSX,HMD,S300000000HMD1111111
LEG,CPV,J300000000CPV1111111
OIT,BLZ,Q200000000BLZ1111111
VTB,CUB,I000000000CUB1111111
ATK,BHR,N100000000BHR1111111
ZNX,FIN,J200000000FIN1111111
CKG,BEL,C000000000BEL1111111
ECD,CIV,F400000000CIV1111111
XUJ,QAT,Q300000000QAT1111111
JGV,GBR,M100000000GBR1111111
YSV,TKL,Q200000000TKL1111111
KQF,SYC,F300000000SYC1111111
AJX,GGY,J100000000GGY1111111
YER,REU,T100000000REU1111111
CBZ,CYP,P000000000CYP1111111
SGZ,GRL,I200000000GRL1111111
JSO,IDN,O400000000IDN1111111
BSM,TON,M200000000TON1111111
DJG,NPL,P100000000NPL1111111
XFJ,DNK,O400000000DNK1111111
RRU,SWE,E000000000SWE1111111
LAB,GRL,I300000000GRL1111111
WRM,COM,K400000000COM1111111
PVE,HUN,H000000000HUN1111111
YTJ,CAF,J200000000CAF1111111
WZH,CYM,Q200000000CYM1111111
YCG,COL,C300000000COL1111111
XLG,MLT,P300000000MLT1111111
QUY,CCK,J100000000CCK1111111
YOY,HRV,Q200000000HRV1111111
TNG,BDI,P100000000BDI1111111
DWU,BLM,P400000000BLM1111111
SUV,ECU,Q000000000ECU1111111
QAB,SEN,L000000000SEN1111111
TLN,JEY,K300000000JEY1111111
WSR,GRC,R400000000GRC1111111
YLQ,GMB,R400000000GMB1111111
IRT,BLM,G100000000BLM1111111
VHD,MEX,J200000000MEX1111111
DIO,ITA,R400000000ITA1111111
DUV,GNQ,F200000000GNQ1111111
XJW,GUM,I200000000GUM1111111
ZEZ,URY,R400000000URY1111111
INK,TLS,P400000000TLS1111111
PNX,CZE,T100000000CZE1111111
BIG,PER,T300000000PER1111111
LQW,SYC,J300000000SYC1111111
EUH,KEN,L200000000KEN1111111
WEE,BHS,H300000000BHS1111111
LYQ,DEU,C100000000DEU1111111
OIL,AUT,C400000000AUT1111111
RFK,ASM,A300000000ASM1111111
JIJ,PRI,N300000000PRI1111111
RZJ,BEN,S300000000BEN1111111
CCS,HTI,S200000000HTI1111111
SLU,LTU,S400000000LTU1111111
UHE,MWI,R100000000MWI1111111
HKX,NFK,R000000000NFK1111111
PIJ,ABW,F100000000ABW1111111
DKQ,LBY,J100000000LBY1111111
VEE,VIR,H300000000VIR1111111
SGS,FRA,B100000000FRA1111111
OTF,TTO,M100000000TTO1111111
YKY,HTI,O300000000HTI1111111
QTA,CHL,N000000000CHL1111111
EQD,AGO,M400000000AGO1111111
GBC,ITA,S100000000ITA1111111
VRM,FRA,F000000000FRA1111111
NDK,GLP,N100000000GLP1111111
EIK,VEN,N200000000VEN1111111
IKG,PRI,R100000000PRI1111111
DCM,DEU,M000000000DEU1111111
CNF,TON,A000000000TON1111111
JSK,GAB,T200000000GAB1111111
PTQ,GIN,M000000000GIN1111111
ZOD,TCA,J200000000TCA1111111
MQT,ZWE,S300000000ZWE1111111
DHP,BMU,H000000000BMU1111111
GFC,ABW,M300000000ABW1111111
AKB,PYF,E100000000PYF1111111
WZS,IMN,H000000000IMN1111111
RIP,JPN,G400000000JPN1111111
ACO,QAT,G200000000QAT1111111
WSK,MNE,R200000000MNE1111111
ISG,KNA,L000000000KNA1111111
UUH,SWE,L400000000SWE1111111
VHK,TKM,F100000000TKM1111111
LHA,GRD,H000000000GRD1111111
KBG,ABW,G400000000ABW1111111
QDX,SLV,N000000000SLV1111111
ZWY,AUT,A100000000AUT1111111
WGQ,ISL,L300000000ISL1111111
FWI,COD,J100000000COD1111111
TAJ,AZE,B300000000AZE1111111
FQJ,SDN,C100000000SDN1111111
NJC,CHN,I100000000CHN1111111
UZR,EST,M100000000EST1111111
ZBI,KGZ,P100000000KGZ1111111
NNG,CAN,L400000000CAN1111111
FYN,PAK,A300000000PAK1111111
HIW,BGD,J300000000BGD1111111
IWP,NLD,T400000000NLD1111111
PGJ,TUV,A000000000TUV1111111
AUI,NLD,I400000000NLD1111111
BGY,TZA,I000000000TZA1111111
XSQ,NIC,Q000000000NIC1111111
JKJ,CUB,N300000000CUB1111111
LIF,EGY,N100000000EGY1111111
PLC,UZB,Q300000000UZB1111111
OKM,JPN,C100000000JPN1111111
JMM,BEL,I300000000BEL1111111
MON,COK,L300000000COK1111111
HIS,DOM,C200000000DOM1111111
JSA,ATA,J000000000ATA1111111
MCX,MWI,Q300000000MWI1111111
LIK,SOM,O000000000SOM1111111
ESV,ECU,G100000000ECU1111111
UUU,PYF,L100000000PYF1111111
RGC,CYP,P100000000CYP1111111
THV,IND,Q000000000IND1111111
WHQ,SGS,L000000000SGS1111111
VUD,KIR,A400000000KIR1111111
YVV,PLW,J400000000PLW1111111
SGZ,USA,O100000000USA1111111
UDE,ASM,F100000000ASM1111111
IFD,ARM,N200000000ARM1111111
NDD,PHL,F400000000PHL1111111
UOL,DEU,J300000000DEU1111111
IYG,EGY,C100000000EGY1111111
CGW,HND,P400000000HND1111111
PNO,BEN,D200000000BEN1111111
HOQ,NZL,F400000000NZL1111111
BDF,PER,O400000000PER1111111
EXM,CAF,R400000000CAF1111111
YJR,SLB,G000000000SLB1111111
BKG,SLB,S000000000SLB1111111
OXR,MOZ,E000000000MOZ1111111
KPF,GRC,T200000000GRC1111111
WQE,CHN,S300000000CHN1111111
DZW,BGD,P400000000BGD1111111
JAD,DOM,Q200000000DOM1111111
GAF,BHS,E000000000BHS1111111
XHH,ALB,P200000000ALB1111111
BUN,DZA,R300000000DZA1111111
SWV,SVK,P400000000SVK1111111
IXG,SWE,F400000000SWE1111111
BCO,AUT,G400000000AUT1111111
YHI,IOT,A300000000IOT1111111
DNI,AND,I200000000AND1111111
AST,GGY,I200000000GGY1111111
WKN,PYF,O300000000PYF1111111
QIZ,PRK,O300000000PRK1111111
VLM,DJI,R400000000DJI1111111
SDH,UZB,S100000000UZB1111111
IVW,BOL,G000000000BOL1111111
WEM,ESP,A400000000ESP1111111
JVP,UGA,R100000000UGA1111111
XAA,SMR,M300000000SMR1111111
TGL,NPL,K000000000NPL1111111
GME,GUF,F300000000GUF1111111
NKO,BOL,T100000000BOL1111111
HGF,MYT,M200000000MYT1111111
HGU,TWN,T000000000TWN1111111
NUE,SRB,C400000000SRB1111111
SQV,SUR,P000000000SUR1111111
BKA,ETH,A300000000ETH1111111
WJO,AND,T000000000AND1111111
VKA,ZWE,K000000000ZWE1111111
SMK,MKD,E300000000MKD1111111
BMU,PAN,A000000000PAN1111111
MOH,TUN,O400000000TUN1111111
YSR,NRU,I400000000NRU1111111
GSN,NGA,Q200000000NGA1111111
HEG,LKA,H100000000LKA1111111
QGO,TWN,G100000000TWN1111111
BUZ,LBN,S200000000LBN1111111
IKF,IOT,F300000000IOT1111111
OJK,MNG,R400000000MNG1111111
BIE,IRN,C400000000IRN1111111
DYR,ARG,P000000000ARG1111111
VGJ,DZA,Q400000000DZA1111111
ZAD,GHA,P200000000GHA1111111
ORQ,VEN,K100000000VEN1111111
BDW,POL,G000000000POL1111111
IHO,VCT,C300000000VCT1111111
IPK,JAM,E300000000JAM1111111
ZDP,BES,H200000000BES1111111
RKK,DMA,N400000000DMA1111111
FTG,AUS,J300000000AUS1111111
EJF,BLR,A300000000BLR1111111
FNB,GNB,F400000000GNB1111111
TSR,NCL,S100000000NCL1111111
OLB,HTI,T200000000HTI1111111
WVM,LSO,R100000000LSO1111111
TNR,SRB,T300000000SRB1111111
SHF,PLW,E200000000PLW1111111
MBB,VNM,T100000000VNM1111111
VHI,MSR,K200000000MSR1111111
EJY,UGA,L100000000UGA1111111
FLR,BGD,A000000000BGD1111111
XSX,PRT,M300000000PRT1111111
EJT,QAT,B000000000QAT1111111
ICM,MCO,P100000000MCO1111111
FQM,IRQ,J100000000IRQ1111111
CLP,IMN,E300000000IMN1111111
EIJ,NLD,O000000000NLD1111111
NFA,NZL,Q200000000NZL1111111
AEX,ZAF,M400000000ZAF1111111
OOB,BRB,R200000000BRB1111111
VMD,DMA,C000000000DMA1111111
NON,GNQ,B100000000GNQ1111111
IUG,TCD,O300000000TCD1111111
GBH,NPL,C100000000NPL1111111
EVX,BMU,E200000000BMU1111111
MQE,GIB,T100000000GIB1111111
QPS,LBR,A400000000LBR1111111
CCC,FRO,F100000000FRO1111111
YAC,TCA,E100000000TCA1111111
IGC,KNA,J300000000KNA1111111
IHS,MCO,A400000000MCO1111111
XAJ,CZE,D000000000CZE1111111
KLZ,UKR,N300000000UKR1111111
TFG,MNE,O000000000MNE1111111
IUD,LTU,L400000000LTU1111111
OYW,ITA,L000000000ITA1111111
ZYU,JOR,J200000000JOR1111111
FFC,WLF,N400000000WLF1111111
ZIN,LSO,H200000000LSO1111111
QLF,LKA,S000000000LKA1111111
DGH,PRT,E300000000PRT1111111
VEI,LUX,E400000000LUX1111111
GJF,SRB,M100000000SRB1111111
OSM,JOR,M000000000JOR1111111
PGZ,PCN,F300000000PCN1111111
TXZ,MMR,T100000000MMR1111111
XWD,MLI,R100000000MLI1111111
JTR,BGD,Q300000000BGD1111111
JMK,ZMB,P300000000ZMB1111111
ANQ,KGZ,L000000000KGZ1111111
KUB,ECU,G300000000ECU1111111
MSW,WLF,Q400000000WLF1111111
TEA,KOR,T200000000KOR1111111
ROM,ZAF,S000000000ZAF1111111
EZF,URY,E100000000URY1111111
OFO,LUX,F400000000LUX1111111
UYD,COL,H200000000COL1111111
YDT,LKA,D100000000LKA1111111
KTO,MCO,G200000000MCO1111111
NZH,IOT,P000000000IOT1111111
YAM,ATG,S300000000ATG1111111
WKJ,ATA,F200000000ATA1111111
JEJ,ESP,I000000000ESP1111111
HMX,RUS,S100000000RUS1111111
SKB,BOL,A200000000BOL1111111
JDE,SDN,M100000000SDN1111111
RUL,COD,M200000000COD1111111
JKF,REU,S000000000REU1111111
BXS,HTI,Q100000000HTI1111111
VNJ,SUR,C400000000SUR1111111
PNM,BRA,G400000000BRA1111111
VDV,LBN,P000000000LBN1111111
KZZ,CZE,H100000000CZE1111111
SLB,BOL,K200000000BOL1111111
WLW,LCA,G300000000LCA1111111
PJC,REU,B400000000REU1111111
OSQ,ASM,C300000000ASM1111111
HLE,MAR,Q400000000MAR1111111
NCA,GBR,A000000000GBR1111111
VOH,TUR,B100000000TUR1111111
RRB,PRT,N200000000PRT1111111
CAM,LTU,Q400000000LTU1111111
RNA,LCA,E400000000LCA1111111
UOR,SRB,Q100000000SRB1111111
AXB,PRT,T400000000PRT1111111
ROE,SSD,B100000000SSD1111111
LZH,BRA,S200000000BRA1111111
DYL,TKL,H200000000TKL1111111
MWV,SVN,K400000000SVN1111111
CVO,LAO,A300000000LAO1111111
XYM,BOL,K300000000BOL1111111
ADR,SWZ,C000000000SWZ1111111
YLH,MAF,R100000000MAF1111111
AXT,MDG,L000000000MDG1111111
JIR,POL,K400000000POL1111111
HIZ,MTQ,I200000000MTQ1111111
FZK,MDV,F000000000MDV1111111
JJL,BEL,I400000000BEL1111111
OHA,CPV,E100000000CPV1111111
VLH,CYM,G000000000CYM1111111
QRU,CYP,K400000000CYP1111111
WXY,BEN,K100000000BEN1111111
SFD,FRO,G400000000FRO1111111
XZH,LBY,C400000000LBY1111111
YVE,SLV,S400000000SLV1111111
SXD,ZMB,C300000000ZMB1111111
EVJ,BES,A200000000BES1111111
SMM,SEN,K200000000SEN1111111
QPF,SGP,R300000000SGP1111111
NUK,CPV,T300000000CPV1111111
TVE,ARM,B000000000ARM1111111
IVK,SVN,F200000000SVN1111111
OAQ,JEY,R200000000JEY1111111
OZH,GUF,F000000000GUF1111111
IPF,LUX,F200000000LUX1111111
KHD,IND,K300000000IND1111111
HWM,AZE,J200000000AZE1111111
XJK,SUR,Q200000000SUR1111111
SLZ,MSR,A100000000MSR1111111
UHT,SOM,D000000000SOM1111111
GKQ,PAN,D300000000PAN1111111
AGP,NIC,J400000000NIC1111111
OTB,LIE,M300000000LIE1111111
GOW,KEN,F300000000KEN1111111
QYI,ASM,E100000000ASM1111111
NNP,SLV,G100000000SLV1111111
KZE,MHL,A300000000MHL1111111
BIY,UZB,I000000000UZB1111111
GDL,MCO,T400000000MCO1111111
SXD,VEN,N000000000VEN1111111
ABY,GHA,T200000000GHA1111111
GPL,MNP,A000000000MNP1111111
XFL,MAF,K000000000MAF1111111
OZK,JEY,I300000000JEY1111111
BTU,SWZ,I000000000SWZ1111111
DXO,BMU,T300000000BMU1111111
TTN,NOR,D400000000NOR1111111
WHW,MDA,I400000000MDA1111111
QNH,RUS,H400000000RUS1111111
NRN,MSR,M100000000MSR1111111
DPD,PLW,S200000000PLW1111111
WQY,GNB,A000000000GNB1111111
CHB,CHL,G000000000CHL1111111
COP,RUS,P200000000RUS1111111
TRV,HRV,O000000000HRV1111111
KEG,UZB,J000000000UZB1111111
LKX,PRY,R200000000PRY1111111
BGE,GMB,E100000000GMB1111111
QEJ,LSO,O300000000LSO1111111
WHC,JAM,G100000000JAM1111111
QSU,ERI,G300000000ERI1111111
EJH,GMB,E400000000GMB1111111
ANT,COG,T000000000COG1111111
DCQ,VUT,K400000000VUT1111111
UPP,TJK,N300000000TJK1111111
SVK,NFK,C200000000NFK1111111
ZUB,HRV,T000000000HRV1111111
KEG,SYR,F000000000SYR1111111
JZT,GMB,I000000000GMB1111111
FWX,AUT,C200000000AUT1111111
XSK,PCN,M100000000PCN1111111
SVT,SPM,P000000000SPM1111111
YXC,CRI,A100000000CRI1111111
EPN,SOM,O200000000SOM1111111
EKE,AUT,A000000000AUT1111111
GZB,MMR,Q300000000MMR1111111
KSL,KAZ,N400000000KAZ1111111
YLM,COM,A200000000COM1111111
ACR,GUM,Q100000000GUM1111111
VDA,GRL,E400000000GRL1111111
CXZ,MRT,E400000000MRT1111111
BYY,CHL,L400000000CHL1111111
WKN,PRK,F100000000PRK1111111
ZMJ,NGA,R300000000NGA1111111
FHM,FIN,N400000000FIN1111111
GYL,MMR,S200000000MMR1111111
WKB,SMR,R200000000SMR1111111
BCM,BTN,Q100000000BTN1111111
BFH,SGP,T200000000SGP1111111
CTS,NGA,E300000000NGA1111111
XDH,SLE,T100000000SLE1111111
MNB,LBR,A200000000LBR1111111
ZDG,MWI,O200000000MWI1111111
UMC,NCL,E100000000NCL1111111
SKV,FRO,N400000000FRO1111111
AEJ,NRU,G400000000NRU1111111
ZEH,WSM,P200000000WSM1111111
HBC,TON,D000000000TON1111111
ONO,SYC,N400000000SYC1111111
KZP,POL,H400000000POL1111111
XFY,SYR,M300000000SYR1111111
YNI,RWA,I400000000RWA1111111
VBY,SLB,I400000000SLB1111111
BIY,GUY,T200000000GUY1111111
OXE,DOM,E200000000DOM1111111
UEA,IMN,I000000000IMN1111111
AIP,IOT,P100000000IOT1111111
VJU,MAF,S100000000MAF1111111
GAR,MNP,Q400000000MNP1111111
RNO,GUM,M300000000GUM1111111
CBO,EGY,A000000000EGY1111111
BRF,MLT,N100000000MLT1111111
EVJ,NIC,T400000000NIC1111111
CGB,COG,D100000000COG1111111
ZRV,URY,T100000000URY1111111
LVU,NOR,L300000000NOR1111111
RLC,TLS,N100000000TLS1111111
ZIF,SSD,F400000000SSD1111111
RIM,ITA,O300000000ITA1111111
EDP,PLW,R100000000PLW1111111
WBL,COK,P300000000COK1111111
ISM,ATA,F100000000ATA1111111
MVH,SMR,T300000000SMR1111111
GOE,COG,O400000000COG1111111
WAU,AUT,Q100000000AUT1111111
EOO,MDG,Q200000000MDG1111111
KON,KHM,K100000000KHM1111111
OHW,DNK,I300000000DNK1111111
XVS,MLT,Q300000000MLT1111111
KLP,DNK,G200000000DNK1111111
LVZ,CUW,C300000000CUW1111111
AKG,COL,O300000000COL1111111
LHB,WLF,S000000000WLF1111111
BIO,TGO,M000000000TGO1111111
VLE,MAR,G400000000MAR1111111
BMM,DJI,G400000000DJI1111111
XHQ,GEO,C400000000GEO1111111
YGK,SEN,S300000000SEN1111111
NRV,TGO,R300000000TGO1111111
SNR,BLM,L100000000BLM1111111
PGY,CUW,B300000000CUW1111111
MZP,BHR,P000000000BHR1111111
PXB,BWA,M000000000BWA1111111
NCP,KOR,I300000000KOR1111111
IPQ,NGA,Q300000000NGA1111111
XOC,ABW,H100000000ABW1111111
RPE,CHL,E300000000CHL1111111
IZC,SVK,I300000000SVK1111111
OSF,FSM,P100000000FSM1111111
OGJ,UZB,B300000000UZB1111111
ZSI,GMB,K100000000GMB1111111
XUY,STP,D200000000STP1111111
DCM,SUR,D200000000SUR1111111
EPR,BOL,E300000000BOL1111111
QBV,NIU,R100000000NIU1111111
NZR,CHN,Q000000000CHN1111111
LOV,MTQ,G300000000MTQ1111111
FBF,YEM,D100000000YEM1111111
VBP,SVN,P300000000SVN1111111
PJM,MLT,I200000000MLT1111111
SZW,CAN,I300000000CAN1111111
PWS,MUS,Q400000000MUS1111111
SPL,COM,D000000000COM1111111
VND,AZE,N100000000AZE1111111
KES,TUN,E200000000TUN1111111
DGE,PNG,P100000000PNG1111111
ERB,UGA,D100000000UGA1111111
DSI,USA,N000000000USA1111111
VCP,PHL,I300000000PHL1111111
TAH,BIH,K400000000BIH1111111
ERB,GMB,G300000000GMB1111111
RQO,AUT,B300000000AUT1111111
EKX,ETH,N400000000ETH1111111
NLT,GIB,R200000000GIB1111111
CEZ,CZE,I100000000CZE1111111
KQW,CZE,N000000000CZE1111111
VUG,AZE,R400000000AZE1111111
BNJ,PRK,C300000000PRK1111111
UQB,MEX,L200000000MEX1111111
OHL,PRY,P300000000PRY1111111
PVN,ARM,G400000000ARM1111111
ORS,MWI,F000000000MWI1111111
OCB,RUS,J400000000RUS1111111
VAV,UZB,M200000000UZB1111111
EXL,QAT,I400000000QAT1111111
VJO,GAB,P400000000GAB1111111
RWP,JAM,Q200000000JAM1111111
XJR,TTO,I200000000TTO1111111
EUB,COL,F000000000COL1111111
UJT,PHL,J200000000PHL1111111
CSJ,UGA,H400000000UGA1111111
SFD,BRN,R400000000BRN1111111
VUK,GMB,P300000000GMB1111111
ZNT,TKM,A300000000TKM1111111
UWT,ALB,T400000000ALB1111111
PLB,TGO,G100000000TGO1111111
FAC,MWI,R300000000MWI1111111
PCH,PNG,T300000000PNG1111111
KGR,IRQ,I300000000IRQ1111111
NGK,EST,O000000000EST1111111
IKD,BHR,P300000000BHR1111111
WLG,ARG,H000000000ARG1111111
ISD,LBR,Q000000000LBR1111111
KGL,GIB,R400000000GIB1111111
XGZ,GAB,J300000000GAB1111111
CLQ,KIR,D000000000KIR1111111
RYN,TJK,D000000000TJK1111111
EJZ,HMD,P400000000HMD1111111
JTM,SYR,P300000000SYR1111111
LTT,CYM,F300000000CYM1111111
JIT,CUW,M100000000CUW1111111
MGK,CRI,H100000000CRI1111111
IGS,HRV,D200000000HRV1111111
AYE,ATG,C100000000ATG1111111
MTQ,VEN,E000000000VEN1111111
XOQ,ASM,R000000000ASM1111111
JFP,TGO,B000000000TGO1111111
AHI,BWA,F100000000BWA1111111
RSJ,ESP,F400000000ESP1111111
ADL,MRT,J300000000MRT1111111
TMH,ALB,M200000000ALB1111111
UKG,TUN,H100000000TUN1111111
RHW,COL,H400000000COL1111111
MSG,ABW,P300000000ABW1111111
IPG,BWA,Q400000000BWA1111111
WSM,SPM,M000000000SPM1111111
LFJ,ZWE,T100000000ZWE1111111
JJS,ARM,G300000000ARM1111111
WEM,TUR,F300000000TUR1111111
EOY,NIU,D000000000NIU1111111
CZI,LBN,H000000000LBN1111111
BJF,BRN,O300000000BRN1111111
DMG,KOR,P100000000KOR1111111
YJZ,TJK,Q000000000TJK1111111
TDZ,GHA,A000000000GHA1111111
RQN,COM,R400000000COM1111111
GHZ,COK,A000000000COK1111111
AKV,MAR,C200000000MAR1111111
WYR,SVN,F400000000SVN1111111
FRW,LTU,D300000000LTU1111111
LUP,ERI,P400000000ERI1111111
JNY,GBR,P400000000GBR1111111
AUA,SSD,T200000000SSD1111111
PSF,CYM,T400000000CYM1111111
JPY,GHA,B100000000GHA1111111
URJ,MNP,C100000000MNP1111111
EUC,PRT,B300000000PRT1111111
MWU,TWN,G400000000TWN1111111
BNY,LBY,P100000000LBY1111111
VRV,IRN,G100000000IRN1111111
GFC,MYS,D100000000MYS1111111
NRV,GNQ,G200000000GNQ1111111
XJB,AIA,M400000000AIA1111111
YRB,ATA,Q300000000ATA1111111
BUI,LIE,K300000000LIE1111111
WLW,CYP,O000000000CYP1111111
SJG,PRK,F400000000PRK1111111
PJU,PAK,L300000000PAK1111111
KPB,HTI,S400000000HTI1111111
JLQ,WSM,M100000000WSM1111111
NOP,TJK,K200000000TJK1111111
XQT,SSD,D000000000SSD1111111
XWE,STP,O200000000STP1111111
CVA,ALB,F000000000ALB1111111
DEX,SEN,O400000000SEN1111111
RTQ,CYP,J400000000CYP1111111
QAC,COM,R200000000COM1111111
JTR,BHS,H200000000BHS1111111
IWU,SLV,N100000000SLV1111111
REF,NCL,J000000000NCL1111111
GWR,GIB,G100000000GIB1111111
PUZ,BHS,T400000000BHS1111111
LUU,PYF,Q100000000PYF1111111
BVI,CHN,H100000000CHN1111111
UUA,BMU,O400000000BMU1111111
BCJ,ALA,T300000000ALA1111111
HSF,NGA,S400000000NGA1111111
GYW,GEO,F400000000GEO1111111
ZJR,DEU,K100000000DEU1111111
SVA,ARG,P200000000ARG1111111
QHR,GNQ,E000000000GNQ1111111
RWW,SVK,P200000000SVK1111111
SDM,TLS,H100000000TLS1111111
WHI,BGR,L200000000BGR1111111
ZIL,CHN,L400000000CHN1111111
ZLK,GAB,L400000000GAB1111111
LFP,ALA,K100000000ALA1111111
ZWR,CPV,C100000000CPV1111111
LZU,PAK,B400000000PAK1111111
GKJ,ASM,S000000000ASM1111111
BLB,TUR,E100000000TUR1111111
YWT,BDI,O000000000BDI1111111
VKR,SHN,S300000000SHN1111111
QUG,IRQ,I000000000IRQ1111111
FXX,IRL,K000000000IRL1111111
MSE,CYP,B000000000CYP1111111
LYM,NFK,E000000000NFK1111111
YMK,SHN,B300000000SHN1111111
WAU,PAK,P000000000PAK1111111
CNI,MHL,H300000000MHL1111111
BKJ,YEM,B300000000YEM1111111
ODU,BFA,O400000000BFA1111111
AHT,PRI,G200000000PRI1111111
HKW,SGP,D000000000SGP1111111
HRN,NZL,L200000000NZL1111111
LFQ,NRU,S300000000NRU1111111
JLZ,LIE,N200000000LIE1111111
WJF,TTO,O000000000TTO1111111
PHO,VCT,G000000000VCT1111111
HUA,KEN,C300000000KEN1111111
ZOB,ABW,I400000000ABW1111111
ESK,IRQ,G000000000IRQ1111111
WOO,NZL,K400000000NZL1111111
RUI,MNE,H000000000MNE1111111
GMR,LVA,P300000000LVA1111111
GFC,ISR,S100000000ISR1111111
ULS,VAT,L000000000VAT1111111
OVM,HTI,I400000000HTI1111111
IQY,LCA,L200000000LCA1111111
YLZ,SUR,A200000000SUR1111111
NGQ,COL,J100000000COL1111111
YQD,DJI,P400000000DJI1111111
GPS,ATA,G200000000ATA1111111
IFR,HKG,A100000000HKG1111111
DLG,BRN,R000000000BRN1111111
UHE,SYC,H000000000SYC1111111
MOF,BEN,C200000000BEN1111111
THC,DMA,P200000000DMA1111111
ZSW,KAZ,D400000000KAZ1111111
CTH,VUT,R200000000VUT1111111
INA,RUS,C200000000RUS1111111
OIH,ATF,P000000000ATF1111111
BVX,MAC,F100000000MAC1111111
IQR,NIU,B400000000NIU1111111
HKX,LKA,L400000000LKA1111111
SOW,NPL,F400000000NPL1111111
UPA,NGA,I200000000NGA1111111
SOB,COD,C400000000COD1111111
MRY,BLZ,P400000000BLZ1111111
DLB,SLE,G100000000SLE1111111
FIE,IMN,L000000000IMN1111111
SFG,NCL,O100000000NCL1111111
YMZ,BRN,S300000000BRN1111111
EYZ,PHL,G100000000PHL1111111
AQH,SEN,E200000000SEN1111111
TCC,HND,M400000000HND1111111
RJR,SJM,S000000000SJM1111111
YEY,FRO,L100000000FRO1111111
XQR,HRV,I000000000HRV1111111
OXE,TWN,D300000000TWN1111111
HBF,ATA,O200000000ATA1111111
IBY,TKL,B100000000TKL1111111
YDZ,BRA,R000000000BRA1111111
OWK,SWE,K000000000SWE1111111
YZK,TUN,S100000000TUN1111111
OJQ,KWT,J300000000KWT1111111
ZON,NLD,K000000000NLD1111111
HUG,LAO,E400000000LAO1111111
FTZ,JAM,D100000000JAM1111111
TXS,HUN,G200000000HUN1111111
PFW,SWE,D200000000SWE1111111
MJJ,LBR,T300000000LBR1111111
ITW,IRL,S000000000IRL1111111
TCK,UGA,A000000000UGA1111111
OXV,YEM,G000000000YEM1111111
GVP,SHN,D100000000SHN1111111
MVD,ESH,M400000000ESH1111111
VHN,USA,A000000000USA1111111
CEL,MNG,K000000000MNG1111111
IMJ,SHN,K400000000SHN1111111
JKJ,PCN,G100000000PCN1111111
APR,BLZ,E200000000BLZ1111111
ZVG,GHA,C300000000GHA1111111
KCM,PRI,C300000000PRI1111111
HUX,MAF,E000000000MAF1111111
VDF,IRN,C300000000IRN1111111
VEU,CPV,I200000000CPV1111111
RCB,LUX,M000000000LUX1111111
JUZ,JPN,M300000000JPN1111111
OWX,REU,B300000000REU1111111
DKC,JEY,F300000000JEY1111111
GYJ,IDN,S100000000IDN1111111
OIK,CMR,R100000000CMR1111111
DBD,FJI,O200000000FJI1111111
